"app_group_art_value","allowance_rate","action_per_allowance","average_months_to_first_action","average_days_to_first_action","average_months_to_allowance","average_days_to_allowance","perct_appeal_after_final_rejection_abandon","perct_rce_after_final_rejection_abandon","perct_ptab_affirmed","n_ptab_action_per_ptab_application","perct_affirmend_after_noa","perct_reversed_after_noa","total_application","allowed_application","abandoned_application","n_non_final_rejection_action","n_final_rejection_action","n_exparte_quale_action","n_restriction_action","n_non_final_rejection_action_allow_application","n_final_rejection_action_allow_application","n_exparte_quale_action_allow_application","n_restriction_action_allow_application","non_final_rejection_application","final_rejection_application","exparte_quale_action_application","restrition_application","non_final_rejection_allowed_application","final_rejection_allowed_application","exparte_quale_action_allowed_application","restrition_allowed_application","notice_of_appeal_application","rce_application","notice_of_appeal_after_final_reject_application","rce_after_final_reject_application","affirmed_after_noa_application","reversed_after_noa_application","n_ptab_action","ptab_decision_application","ptab_affirmed_application"
"2918","0.9922570474777448","0.5736647820195317","14.383512217401233","430.8851792646723","16.457408532311575","493.1042941918602","1.5391250770178682","6.161429451632779E-4","NaN","NaN","0.0","0.0","22418","21401","915","6188","788","3151","2775","5809","755","3089","2624","6044","782","3129","2760","5679","750","3069","2609","2511","1","2498","1","0","0","0","0","0"
"2621","0.7587650444793302","1.5703448275862069","12.763720930232559","382.29906976744184","19.43241379310345","582.2151724137931","0.19390581717451524","0.5484764542936288","0.5454545454545454","1.0","0.0","0.0","2250","1450","824","2424","1278","28","279","1447","639","26","165","1877","958","27","279","1213","516","25","165","210","594","210","594","0","0","11","11","6"
"3792","0.7549080133349796","1.7005233889434086","18.39669421487603","551.210295728368","25.18596663395486","754.8791298658816","0.17825487492613748","0.48217451250738624","0.47368421052631576","1.0263157894736843","0.0","0.0","10919","6114","3565","11374","5028","88","2201","6527","2640","82","1148","8993","4118","88","2169","5389","2311","82","1131","905","2452","905","2448","0","0","39","38","18"
"3668","0.776326207442597","1.4553799082100969","20.222734761120265","606.2266886326195","26.09382967873534","782.1325854156042","0.19600855310049894","0.4803991446899501","0.46153846153846156","1.0","0.0","0.0","3231","1961","1007","3373","1428","18","99","2060","726","18","50","2794","1179","17","99","1745","609","17","50","276","674","275","674","0","0","13","13","6"
"3621","0.6094339622641509","1.520123839009288","15.832075471698113","474.81509433962265","23.08049535603715","692.1145510835913","0.1408839779005525","0.43922651933701656","NaN","NaN","0.0","0.0","532","323","335","544","298","0","35","299","175","0","17","445","249","0","35","243","149","0","17","51","159","51","159","0","0","0","0","0"
"1759","0.7208913649025069","1.7612055641421946","19.56906779661017","586.5300847457627","26.506955177743432","794.7874806800618","0.22663139329805995","0.5149911816578483","0.7272727272727273","1.0","0.0","0.0","2730","1294","837","2584","1164","26","899","1299","531","25","424","2009","921","26","887","1051","440","25","417","258","584","257","584","0","0","11","11","8"
"3683","0.45782493368700267","1.6987253765932793","17.438197767145134","522.7125199362041","24.27114716106605","728.2838933951333","0.07232516437537358","0.5140466228332337","0.8333333333333334","1.0","0.0","0.0","2726","863","1372","3137","1778","4","210","955","449","4","58","2360","1390","4","206","756","384","4","58","121","860","121","860","0","0","12","12","10"
"3714","0.8809523809523809","0.3783783783783784","3.9761904761904763","115.0","5.837837837837838","171.78378378378378","0.25","0.125","NaN","NaN","0.0","0.0","42","37","7","14","2","0","0","13","1","0","0","14","2","0","0","13","1","0","0","2","1","2","1","0","0","0","0","0"
"2413","0.774076317383404","1.7394366197183098","14.626407369498464","438.2236438075742","22.315336463223787","669.1486697965571","0.26","0.6009523809523809","0.375","1.0","0.0","0.0","2060","1278","789","2421","1258","12","137","1454","681","12","76","1759","930","10","137","1101","530","10","76","273","631","273","631","0","0","16","16","6"
"1743","0.7900040306328093","1.4173469387755102","18.355021688355023","550.097097097097","23.60918367346939","708.0010204081633","0.31833333333333336","0.39166666666666666","NaN","NaN","0.0","0.0","3194","1960","894","2645","951","26","1248","1608","509","21","640","2287","837","26","1219","1408","466","21","630","382","470","382","470","0","0","0","0","0"
