"app_group_art_value","node","node_next","route_application","total_application","appeal_application","interview_application","rce_application"
"1600","Appeal","Not Allowed","1","10","1","5","4"
"1600","RCE","Not Allowed","4","10","1","5","4"
"1600","Application Filed","Not Allowed","14","10","1","5","4"
"1600","Interview","Not Allowed","4","10","1","5","4"
"1600","Interview","Allowed","1","10","1","5","4"
"1600","Application Filed","Allowed","1","10","1","5","4"
"1611","RCE","Allowed","2","1837","48","1067","722"
"1611","Application Filed","Allowed","34","1837","48","1067","722"
"1611","Application Filed","Not Allowed","204","1837","48","1067","722"
"1611","Interview","Not Allowed","441","1837","48","1067","722"
"1611","Appeal","Not Allowed","43","1837","48","1067","722"
"1611","RCE","Not Allowed","720","1837","48","1067","722"
"1611","Interview","Allowed","626","1837","48","1067","722"
"1611","Appeal","Allowed","5","1837","48","1067","722"
"1612","Appeal","Partially Allowed","3","2235","125","871","1239"
"1612","Interview","Not Allowed","560","2235","125","871","1239"
"1612","RCE","Not Allowed","1236","2235","125","871","1239"
"1612","Application Filed","Not Allowed","313","2235","125","871","1239"
"1612","Appeal","Allowed","35","2235","125","871","1239"
"1612","Interview","Allowed","311","2235","125","871","1239"
"1612","RCE","Allowed","3","2235","125","871","1239"
"1612","Appeal","Not Allowed","87","2235","125","871","1239"
"1612","Application Filed","Allowed","126","2235","125","871","1239"
"1613","RCE","Not Allowed","1115","2375","90","1168","1117"
"1613","Appeal","Allowed","12","2375","90","1168","1117"
"1613","Interview","Allowed","698","2375","90","1168","1117"
"1613","Appeal","Not Allowed","78","2375","90","1168","1117"
"1613","Application Filed","Allowed","50","2375","90","1168","1117"
"1613","Interview","Not Allowed","470","2375","90","1168","1117"
"1613","RCE","Allowed","2","2375","90","1168","1117"
"1613","Application Filed","Not Allowed","290","2375","90","1168","1117"
"1615","Interview","Allowed","702","2258","88","1201","969"
"1615","Appeal","Not Allowed","69","2258","88","1201","969"
"1615","Interview","Not Allowed","499","2258","88","1201","969"
"1615","Application Filed","Allowed","66","2258","88","1201","969"
"1615","Appeal","Partially Allowed","2","2258","88","1201","969"
"1615","Application Filed","Not Allowed","340","2258","88","1201","969"
"1615","RCE","Not Allowed","966","2258","88","1201","969"
"1615","RCE","Allowed","3","2258","88","1201","969"
"1615","Appeal","Allowed","17","2258","88","1201","969"
"1616","Interview","Allowed","295","1234","27","649","558"
"1616","RCE","Not Allowed","558","1234","27","649","558"
"1616","Application Filed","Not Allowed","196","1234","27","649","558"
"1616","Appeal","Partially Allowed","1","1234","27","649","558"
"1616","Appeal","Not Allowed","23","1234","27","649","558"
"1616","Appeal","Allowed","3","1234","27","649","558"
"1616","Interview","Not Allowed","354","1234","27","649","558"
"1616","Application Filed","Allowed","46","1234","27","649","558"
"1617","Interview","Not Allowed","735","2430","98","1289","1043"
"1617","Application Filed","Not Allowed","226","2430","98","1289","1043"
"1617","Appeal","Not Allowed","71","2430","98","1289","1043"
"1617","Appeal","Appeal dismissed","1","2430","98","1289","1043"
"1617","Appeal","Partially Allowed","1","2430","98","1289","1043"
"1617","Appeal","Allowed","25","2430","98","1289","1043"
"1617","RCE","Not Allowed","1036","2430","98","1289","1043"
"1617","RCE","Allowed","7","2430","98","1289","1043"
"1617","Application Filed","Allowed","54","2430","98","1289","1043"
"1617","Interview","Allowed","554","2430","98","1289","1043"
"1618","Application Filed","Not Allowed","212","1671","81","776","814"
"1618","RCE","Allowed","1","1671","81","776","814"
"1618","Appeal","Allowed","12","1671","81","776","814"
"1618","Application Filed","Allowed","49","1671","81","776","814"
"1618","RCE","Not Allowed","813","1671","81","776","814"
"1618","Appeal","Not Allowed","69","1671","81","776","814"
"1618","Interview","Allowed","394","1671","81","776","814"
"1618","Interview","Not Allowed","382","1671","81","776","814"
"1619","Application Filed","Not Allowed","127","1297","63","568","666"
"1619","RCE","Not Allowed","665","1297","63","568","666"
"1619","Interview","Allowed","211","1297","63","568","666"
"1619","RCE","Allowed","1","1297","63","568","666"
"1619","Appeal","Not Allowed","54","1297","63","568","666"
"1619","Appeal","Allowed","9","1297","63","568","666"
"1619","Application Filed","Allowed","21","1297","63","568","666"
"1619","Interview","Not Allowed","357","1297","63","568","666"
"1621","RCE","Not Allowed","9","67",,"58","9"
"1621","Interview","Allowed","53","67",,"58","9"
"1621","Application Filed","Allowed","15","67",,"58","9"
"1621","Interview","Not Allowed","5","67",,"58","9"
"1621","Application Filed","Not Allowed","38","67",,"58","9"
"1622","Interview","Allowed","915","1856","24","1246","586"
"1622","RCE","Not Allowed","584","1856","24","1246","586"
"1622","Application Filed","Not Allowed","250","1856","24","1246","586"
"1622","Interview","Not Allowed","331","1856","24","1246","586"
"1622","RCE","Allowed","2","1856","24","1246","586"
"1622","Appeal","Not Allowed","18","1856","24","1246","586"
"1622","Application Filed","Allowed","546","1856","24","1246","586"
"1622","Appeal","Allowed","6","1856","24","1246","586"
"1623","RCE","Allowed","1","2097","66","1231","800"
"1623","Interview","Allowed","826","2097","66","1231","800"
"1623","Application Filed","Allowed","99","2097","66","1231","800"
"1623","Application Filed","Not Allowed","353","2097","66","1231","800"
"1623","Appeal","Not Allowed","43","2097","66","1231","800"
"1623","RCE","Not Allowed","799","2097","66","1231","800"
"1623","Appeal","Allowed","23","2097","66","1231","800"
"1623","Interview","Not Allowed","405","2097","66","1231","800"
"1624","Application Filed","Allowed","294","1992","25","1244","723"
"1624","RCE","Not Allowed","720","1992","25","1244","723"
"1624","Application Filed","Not Allowed","342","1992","25","1244","723"
"1624","RCE","Allowed","3","1992","25","1244","723"
"1624","Appeal","Allowed","10","1992","25","1244","723"
"1624","Interview","Not Allowed","280","1992","25","1244","723"
"1624","Appeal","Not Allowed","15","1992","25","1244","723"
"1624","Interview","Allowed","964","1992","25","1244","723"
"1625","Application Filed","Not Allowed","387","2874","37","1945","892"
"1625","Appeal","Allowed","13","2874","37","1945","892"
"1625","Appeal","Not Allowed","24","2874","37","1945","892"
"1625","Interview","Not Allowed","574","2874","37","1945","892"
"1625","RCE","Allowed","10","2874","37","1945","892"
"1625","RCE","Not Allowed","882","2874","37","1945","892"
"1625","Application Filed","Allowed","367","2874","37","1945","892"
"1625","Interview","Allowed","1371","2874","37","1945","892"
"1626","RCE","Not Allowed","805","2373","17","1544","812"
"1626","Appeal","Allowed","7","2373","17","1544","812"
"1626","Interview","Allowed","1094","2373","17","1544","812"
"1626","Application Filed","Allowed","542","2373","17","1544","812"
"1626","Application Filed","Not Allowed","434","2373","17","1544","812"
"1626","RCE","Allowed","7","2373","17","1544","812"
"1626","Appeal","Not Allowed","10","2373","17","1544","812"
"1626","Interview","Not Allowed","450","2373","17","1544","812"
"1627","Appeal","Partially Allowed","3","2934","140","1657","1137"
"1627","Appeal","Not Allowed","115","2934","140","1657","1137"
"1627","Interview","Allowed","874","2934","140","1657","1137"
"1627","Application Filed","Allowed","42","2934","140","1657","1137"
"1627","RCE","Not Allowed","1134","2934","140","1657","1137"
"1627","RCE","Allowed","3","2934","140","1657","1137"
"1627","Application Filed","Not Allowed","455","2934","140","1657","1137"
"1627","Appeal","Allowed","20","2934","140","1657","1137"
"1627","Interview","Not Allowed","783","2934","140","1657","1137"
"1627","Appeal","Appeal dismissed","2","2934","140","1657","1137"
"1628","Application Filed","Not Allowed","252","2165","120","1007","1038"
"1628","Application Filed","Allowed","51","2165","120","1007","1038"
"1628","RCE","Not Allowed","1038","2165","120","1007","1038"
"1628","Interview","Not Allowed","554","2165","120","1007","1038"
"1628","Appeal","Appeal dismissed","2","2165","120","1007","1038"
"1628","Appeal","Allowed","5","2165","120","1007","1038"
"1628","Appeal","Not Allowed","112","2165","120","1007","1038"
"1628","Interview","Allowed","453","2165","120","1007","1038"
"1628","Appeal","Partially Allowed","1","2165","120","1007","1038"
"1629","Application Filed","Allowed","155","1405","47","757","601"
"1629","Appeal","Allowed","13","1405","47","757","601"
"1629","RCE","Allowed","3","1405","47","757","601"
"1629","Interview","Allowed","447","1405","47","757","601"
"1629","Appeal","Not Allowed","34","1405","47","757","601"
"1629","Interview","Not Allowed","310","1405","47","757","601"
"1629","RCE","Not Allowed","598","1405","47","757","601"
"1629","Application Filed","Not Allowed","786","1405","47","757","601"
"1631","Appeal","Not Allowed","21","1136","25","592","519"
"1631","RCE","Not Allowed","518","1136","25","592","519"
"1631","Appeal","Partially Allowed","1","1136","25","592","519"
"1631","Application Filed","Not Allowed","119","1136","25","592","519"
"1631","RCE","Allowed","1","1136","25","592","519"
"1631","Appeal","Allowed","3","1136","25","592","519"
"1631","Interview","Not Allowed","363","1136","25","592","519"
"1631","Application Filed","Allowed","15","1136","25","592","519"
"1631","Interview","Allowed","229","1136","25","592","519"
"1632","Application Filed","Not Allowed","208","1759","54","977","728"
"1632","Interview","Allowed","506","1759","54","977","728"
