"examiner_name","node","node_next","route_application","total_application","appeal_application","interview_application","rce_application"
"A, MINH D","Application Filed","Not Allowed","7","117","2","73","42"
"A, MINH D","Application Filed","Allowed","92","117","2","73","42"
"A, MINH D","Appeal","Allowed","1","117","2","73","42"
"A, MINH D","Interview","Not Allowed","38","117","2","73","42"
"A, MINH D","Interview","Allowed","35","117","2","73","42"
"A, MINH D","Appeal","Not Allowed","1","117","2","73","42"
"A, MINH D","RCE","Not Allowed","42","117","2","73","42"
"A, PHI DIEU TRAN","Interview","Not Allowed","78","191","11","113","67"
"A, PHI DIEU TRAN","Application Filed","Allowed","11","191","11","113","67"
"A, PHI DIEU TRAN","Appeal","Not Allowed","8","191","11","113","67"
"A, PHI DIEU TRAN","Interview","Allowed","35","191","11","113","67"
"A, PHI DIEU TRAN","Application Filed","Not Allowed","18","191","11","113","67"
"A, PHI DIEU TRAN","Appeal","Allowed","3","191","11","113","67"
"A, PHI DIEU TRAN","RCE","Not Allowed","67","191","11","113","67"
"AAMIR, HAFIZ MUHAMM","Application Filed","Allowed","2","26",,"21","5"
"AAMIR, HAFIZ MUHAMM","Application Filed","Not Allowed","2","26",,"21","5"
"AAMIR, HAFIZ MUHAMM","RCE","Not Allowed","5","26",,"21","5"
"AAMIR, HAFIZ MUHAMM","Interview","Allowed","17","26",,"21","5"
"AAMIR, HAFIZ MUHAMM","Interview","Not Allowed","4","26",,"21","5"
"ABAD, FARLEY J","Application Filed","Not Allowed","6","77",,"53","24"
"ABAD, FARLEY J","Interview","Not Allowed","22","77",,"53","24"
"ABAD, FARLEY J","Interview","Allowed","31","77",,"53","24"
"ABAD, FARLEY J","Application Filed","Allowed","19","77",,"53","24"
"ABAD, FARLEY J","RCE","Not Allowed","24","77",,"53","24"
"ABAZA, AYMAN A","Appeal","Allowed","2","143","2","85","56"
"ABAZA, AYMAN A","Application Filed","Not Allowed","7","143","2","85","56"
"ABAZA, AYMAN A","Application Filed","Allowed","2","143","2","85","56"
"ABAZA, AYMAN A","RCE","Not Allowed","56","143","2","85","56"
"ABAZA, AYMAN A","Interview","Not Allowed","63","143","2","85","56"
"ABAZA, AYMAN A","Interview","Allowed","22","143","2","85","56"
"ABBASZADEH, JAWEED A","Interview","Allowed","8","16",,"12","4"
"ABBASZADEH, JAWEED A","Interview","Not Allowed","4","16",,"12","4"
"ABBASZADEH, JAWEED A","Application Filed","Not Allowed","1","16",,"12","4"
"ABBASZADEH, JAWEED A","RCE","Not Allowed","4","16",,"12","4"
"ABBOTT-LEWIS, YVONNE RENEE","Application Filed","Not Allowed","10","21",,"10","11"
